"Yes","Sim"
"Use the SKU or the ID to identify products","Use o SKU ou a ID para identificar os produtos"
"ATTENTION! OPTION ONLY RESERVED FOR VERIFIED-REVIEWS TEAM. Change it only if our team contact you.","ATENÇÃO! OPÇÃO SOMENTE RESERVADA PARA A EQUIPE DE OPINIÕES VERIFICADAS. Mude-a somente se nossa equipe entrar em contato com você."
"Use the data of the Parent product.","Use os dados do produto Principal."
"Google Shopping - Product Data (PLA)","Google Shopping - Dados do produto (PLA)"
"Fields Mapping","Mapeamento de campos"
"IMPORTANT: Before all please select the STORE where you already configured the module, otherwise Google Shopping won't recognize your product data. Then UNCHECK ONLY THE FIELDS that you are sure to get extra product data for Google Shopping.","IMPORTANTE: antes de tudo, selecione A LOJA onde você já configurou o MÓDULO, caso contrário o Google Shopping não reconhecerá os dados do seu produto. UNCHECK SOMENTE OS CAMPOS que você tem certeza de obter dados de produtos adicionais para o Google Shopping."
"Google Shopping PLA can only be configured in STORES view, please select in the top-left menu the STORE that you want to configure.","O Google Shopping PLA só pode ser configurado nos LOJAS, selecione no menu superior esquerdo A LOJA que deseja configurar."
"ID","ID"
"WARNING! ID is already got from your products, change it only if you are sure that the module is collecting a wrong data.","ADVERTÊNCIA! ID já obteve de seus produtos, altere-o somente se tiver certeza de que o módulo está coletando dados errados."
"SKU","SKU"
"WARNING! SKU is already got from your products, change it only if you are sure that the module is collecting a wrong data.","AVISO! O SKU já obteve dos seus produtos, altere-o apenas se tiver certeza de que o módulo está coletando dados errados."
"Short description (product name)","Descrição breve (nome do produto)."
"WARNING! SHORT DESCRIPTION is already got from your products, change it only if you are sure that the module is collecting a wrong data.","ADVERTÊNCIA! BREVE DESCRIÇÃO já obteve dos seus produtos, altere-o apenas se tiver certeza de que o módulo está coletando dados errados."
"Link","Ligação"
"WARNING! PRODUCT LINK is already got from your products, change it only if you are sure that the module is collecting a wrong data.","AVISO! O LINK DE PRODUTO já obteve dos seus produtos, altere-o apenas se tiver certeza de que o módulo está coletando dados errados."
"Image link","Link da imagem"
"WARNING! PRODUCT IMAGE LINK is already got from your products, change it only if you are sure that the module is collecting a wrong data.","AVISO! O LINHO DE IMAGEM DE PRODUTO já obteve de seus produtos, altere-o apenas se tiver certeza de que o módulo está coletando dados errados."
"Brand","Marca"
"Category","Categoria"
"mpn","mpn"
"gtin_upc","gtin_upc"
"gtin_ean","gtin_ean"
"gtin_jan","gtin_jan"
"gtin_isbn","gtin_isbn"
"Extra Info 1","Informações adicionais 1"
"Extra Info 2","Informações adicionais 2"
"Extra Info 3","Informações adicionais 3"
"Extra Info 4","Informações adicionais 4"
"Extra Info 5","Informações adicionais 5"
"Extra Info 6","Informações adicionais 6"
"Extra Info 7","Informações adicionais 7"
"Extra Info 8","Informações adicionais 8"
"Extra Info 9","Informações adicionais 9"
"Extra Info 10","Informações adicionais 10"
"No rich-snippets","Sem rich-snippets"
"Rich-snippets using microdata format","Rich-snippets usando o formato microdata"
"Store views","Loja"
"Store views title","Titulo da loja"
"Before all please select the store to export orders.","Antes de tudo, selecione a loja para exportar pedidos."
"Order status","Status do pedido"
"Keep all the options unchecked to get orders from all status.","Mantenha todas as opções desmarcadas para obter pedidos de todos os status."
"From","A partir de"
"Leave it empty to get orders from the beginning of time.","Deixe vazio para receber ordens desde o início dos tempos."
"To","A"
"Leave it empty to use the current date.","Deixe vazio para usar a data atual."
"Request product reviews?","Solicitar opiniões de produtos?"
"It add product information to orders.","Adiciona informações do produto aos pedidos."
"Export File","Exportar Arquivo"
"Back","Retornar"
"Reset","Restabelecer"
"There are no reviews for this product yet.","Não há comentários para este produto ainda."
"Moderator","Moderador"
"Merchant","e-Commerce"
"Response from","Resposta do"
"Display exchanges","Mostrar alterações"
"Hide exchanges","Ocultar alterações"
"Was this review helpful ?","Este comentário foi útil?"
"Sort reviews","Classificar avaliações por"
"Newests","Mais recentes"
"Oldests","Mais Antigas"
"Highest ratings","Avaliações mais altas"
"Lowest ratings","Avaliações mais baixas"
"Most useful","Muito útil"
"An error has occurred.","An error has occurred."
"Thank you, your vote will soon be published.","Thank you, your vote will soon be published."
"Use tiny responsive design in product reviews","Use tiny responsive design in product reviews"
"This will hide the graph filters. Select Yes only if the product reviews are displaying in a small block (for example: 400px).","This will hide the graph filters. Select Yes only if the product reviews are displaying in a small block (for example: 400px)."
"logo_full_en","logo_full_pt"﻿
"Reviews subject to control","Opiniões sujeitas a controlo"
"For further information on the nature of the review controls, as well as the possibility of contacting the author of the review please consult our","Para mais informações sobre a natureza do controlo das opiniões, bem como a possibilidade de entrar em contato com o autor da opinião, consulte a nossa"
"GCU","CGU"
"No inducements have been provided for these reviews","Não foi fornecido qualquer incentivo para serem escritas estas opiniões"
"Reviews are published and kept for a period of five years","As opiniões são publicadas e mantidas por um período de cinco anos"
"Reviews can not be modified: If a customer wishes to modify their review then they can do so by contacting Verified Reviews directly to remove the existing review and publish an amended one","As opiniões não podem ser modificadas: se um cliente deseja modificar a sua opinião, então pode fazê-lo contatando as Opiniões Verificadas diretamente para remover a opinião existente e publicar uma nova opinião"
"The reasons for deletion of reviews are available","Os motivos para a eliminação das opiniões estão disponíveis"
"here","aqui"
"published","publicado o"
"following an order made on","seguindo uma ordem feita em"
"verified-reviews.com","opinioes-verificadas.com.br"
"Verified-Reviews can only be configured in STORES level, please select in the top-left menu the store that you want to configure.","Opinioes-Verificadas só pode ser configurado a LOJA, selecione no menu superior esquerdo a loja que deseja configurar."
"The orders originated from a physical store (Offline orders)","The orders originated from a physical store (Offline orders)"
"Orders are considered to be labelled as Offline, if they have been made in a physical store. If you choose &quot;No&quot; the orders will be considered as online orders. The default value is &quot;No&quot;.","Orders are considered to be labelled as Offline, if they have been made in a physical store. If you choose &quot;No&quot; the orders will be considered as online orders. The default value is &quot;No&quot;."
