method;store_id;country_id;weight_from;weight_to;price;is_active
domtomcl;0;MQ;0.5000;1.0000;13.7800;1
domtomcl;0;MQ;1.0000;2.0000;18.7700;1
domtomcl;0;MQ;2.0000;3.0000;23.7800;1
domtomcl;0;MQ;3.0000;4.0000;28.7800;1
domtomcl;0;MQ;4.0000;5.0000;32.9200;1
domtomcl;0;MQ;5.0000;6.0000;38.8000;1
domtomcl;0;MQ;6.0000;7.0000;43.7900;1
domtomcl;0;MQ;7.0000;8.0000;48.5900;1
domtomcl;0;MQ;8.0000;9.0000;53.4300;1
domtomcl;0;MQ;9.0000;10.0000;59.2300;1
domtomcl;0;MQ;10.0000;15.0000;83.1500;1
domtomcl;0;MQ;15.0000;20.0000;109.0300;1
domtomcl;0;MQ;20.0000;25.0000;137.7500;1
domtomcl;0;MQ;25.0000;;166.4600;1
domtomcl;0;NC;;0.5000;10.7900;1
domtomcl;0;NC;0.5000;1.0000;16.7600;1
domtomcl;0;NC;1.0000;2.0000;29.7800;1
domtomcl;0;NC;2.0000;3.0000;42.8100;1
domtomcl;0;NC;3.0000;4.0000;54.4200;1
domtomcl;0;NC;4.0000;5.0000;67.1100;1
domtomcl;0;NC;5.0000;6.0000;81.9000;1
domtomcl;0;NC;6.0000;7.0000;94.9300;1
domtomcl;0;NC;7.0000;8.0000;107.0900;1
domtomcl;0;NC;8.0000;9.0000;117.9000;1
domtomcl;0;NC;9.0000;10.0000;130.5900;1
domtomcl;0;NC;10.0000;15.0000;199.9400;1
domtomcl;0;NC;15.0000;20.0000;259.0800;1
domtomcl;0;NC;20.0000;25.0000;323.3300;1
domtomcl;0;NC;25.0000;;387.5600;1
domtomcl;0;PF;;0.5000;10.7900;1
domtomcl;0;PF;0.5000;1.0000;16.7600;1
domtomcl;0;PF;1.0000;2.0000;29.7800;1
domtomcl;0;PF;2.0000;3.0000;42.8100;1
domtomcl;0;PF;3.0000;4.0000;54.4200;1
domtomcl;0;PF;4.0000;5.0000;67.1100;1
domtomcl;0;PF;5.0000;6.0000;81.9000;1
domtomcl;0;PF;6.0000;7.0000;94.9300;1
domtomcl;0;PF;7.0000;8.0000;107.0900;1
domtomcl;0;PF;8.0000;9.0000;117.9000;1
domtomcl;0;PF;9.0000;10.0000;130.5900;1
domtomcl;0;PF;10.0000;15.0000;199.9400;1
domtomcl;0;PF;15.0000;20.0000;259.0800;1
domtomcl;0;PF;20.0000;25.0000;323.3300;1
domtomcl;0;PF;25.0000;;387.5600;1
domtomcl;0;PM;;0.5000;9.0800;1
domtomcl;0;PM;0.5000;1.0000;13.7800;1
domtomcl;0;PM;1.0000;2.0000;18.7700;1
domtomcl;0;PM;2.0000;3.0000;23.7800;1
domtomcl;0;PM;3.0000;4.0000;28.7800;1
domtomcl;0;PM;4.0000;5.0000;32.9200;1
domtomcl;0;PM;5.0000;6.0000;38.8000;1
domtomcl;0;PM;6.0000;7.0000;43.7900;1
domtomcl;0;PM;7.0000;8.0000;48.5900;1
domtomcl;0;PM;8.0000;9.0000;53.4300;1
domtomcl;0;PM;9.0000;10.0000;59.2300;1
domtomcl;0;PM;10.0000;15.0000;83.1500;1
domtomcl;0;PM;15.0000;20.0000;109.0300;1
domtomcl;0;PM;20.0000;25.0000;137.7500;1
domtomcl;0;PM;25.0000;;166.4600;1
domtomcl;0;RE;;0.5000;9.0800;1
domtomcl;0;RE;0.5000;1.0000;13.7800;1
domtomcl;0;RE;1.0000;2.0000;18.7700;1
domtomcl;0;RE;2.0000;3.0000;23.7800;1
domtomcl;0;RE;3.0000;4.0000;28.7800;1
domtomcl;0;RE;4.0000;5.0000;32.9200;1
domtomcl;0;RE;5.0000;6.0000;38.8000;1
domtomcl;0;RE;6.0000;7.0000;43.7900;1
domtomcl;0;RE;7.0000;8.0000;48.5900;1
domtomcl;0;RE;8.0000;9.0000;53.4300;1
domtomcl;0;RE;9.0000;10.0000;59.2300;1
domtomcl;0;RE;10.0000;15.0000;83.1500;1
domtomcl;0;RE;15.0000;20.0000;109.0300;1
domtomcl;0;RE;20.0000;25.0000;137.7500;1
domtomcl;0;RE;25.0000;;166.4600;1
domtomcl;0;TF;;0.5000;10.7900;1
domtomcl;0;TF;0.5000;1.0000;16.7600;1
domtomcl;0;TF;1.0000;2.0000;29.7800;1
domtomcl;0;TF;2.0000;3.0000;42.8100;1
domtomcl;0;TF;3.0000;4.0000;54.4200;1
domtomcl;0;TF;4.0000;5.0000;67.1100;1
domtomcl;0;TF;5.0000;6.0000;81.9000;1
domtomcl;0;TF;6.0000;7.0000;94.9300;1
domtomcl;0;TF;7.0000;8.0000;107.0900;1
domtomcl;0;TF;8.0000;9.0000;117.9000;1
domtomcl;0;TF;9.0000;10.0000;130.5900;1
domtomcl;0;TF;10.0000;15.0000;199.9400;1
domtomcl;0;TF;15.0000;20.0000;259.0800;1
domtomcl;0;TF;20.0000;25.0000;323.3300;1
domtomcl;0;TF;25.0000;;387.5600;1
domtomcl;0;WF;;0.5000;10.7900;1
domtomcl;0;WF;0.5000;1.0000;16.7600;1
domtomcl;0;WF;1.0000;2.0000;29.7800;1
domtomcl;0;WF;2.0000;3.0000;42.8100;1
domtomcl;0;WF;3.0000;4.0000;54.4200;1
domtomcl;0;WF;4.0000;5.0000;67.1100;1
domtomcl;0;WF;5.0000;6.0000;81.9000;1
domtomcl;0;WF;6.0000;7.0000;94.9300;1
domtomcl;0;WF;7.0000;8.0000;107.0900;1
domtomcl;0;WF;8.0000;9.0000;117.9000;1
domtomcl;0;WF;9.0000;10.0000;130.5900;1
domtomcl;0;WF;10.0000;15.0000;199.9400;1
domtomcl;0;WF;15.0000;20.0000;259.0800;1
domtomcl;0;WF;20.0000;25.0000;323.3300;1
domtomcl;0;WF;25.0000;;387.5600;1
domtomcl;0;YT;;0.5000;9.0800;1
domtomcl;0;YT;0.5000;1.0000;13.7800;1
domtomcl;0;YT;1.0000;2.0000;18.7700;1
domtomcl;0;YT;2.0000;3.0000;23.7800;1
domtomcl;0;YT;3.0000;4.0000;28.7800;1
domtomcl;0;YT;4.0000;5.0000;32.9200;1
domtomcl;0;YT;5.0000;6.0000;38.8000;1
domtomcl;0;YT;6.0000;7.0000;43.7900;1
domtomcl;0;YT;7.0000;8.0000;48.5900;1
domtomcl;0;YT;8.0000;9.0000;53.4300;1
domtomcl;0;YT;9.0000;10.0000;59.2300;1
domtomcl;0;YT;10.0000;15.0000;83.1500;1
domtomcl;0;YT;15.0000;20.0000;109.0300;1
domtomcl;0;YT;20.0000;25.0000;137.7500;1
domtomcl;0;YT;25.0000;;166.4600;1
domtomsi;0;BL;;0.5000;12.6300;1
domtomsi;0;BL;0.5000;1.0000;15.9000;1
domtomsi;0;BL;1.0000;2.0000;21.4200;1
domtomsi;0;BL;2.0000;3.0000;26.9700;1
domtomsi;0;BL;3.0000;4.0000;31.9300;1
domtomsi;0;BL;4.0000;5.0000;37.0600;1
domtomsi;0;BL;5.0000;6.0000;43.5800;1
domtomsi;0;BL;6.0000;7.0000;49.1200;1
domtomsi;0;BL;7.0000;8.0000;53.2500;1
domtomsi;0;BL;8.0000;9.0000;58.6500;1
domtomsi;0;BL;9.0000;10.0000;64.0500;1
domtomsi;0;BL;10.0000;15.0000;91.2100;1
domtomsi;0;BL;15.0000;20.0000;115.8700;1
domtomsi;0;BL;20.0000;25.0000;142.8600;1
domtomsi;0;BL;25.0000;;169.8300;1
domtomsi;0;GF;;0.5000;12.6300;1
domtomsi;0;GF;0.5000;1.0000;15.9000;1
domtomsi;0;GF;1.0000;2.0000;21.4200;1
domtomsi;0;GF;2.0000;3.0000;26.9700;1
domtomsi;0;GF;3.0000;4.0000;31.9300;1
domtomsi;0;GF;4.0000;5.0000;37.0600;1
domtomsi;0;GF;5.0000;6.0000;43.5800;1
domtomsi;0;GF;6.0000;7.0000;49.1200;1
domtomsi;0;GF;7.0000;8.0000;53.2500;1
domtomsi;0;GF;8.0000;9.0000;58.6500;1
domtomsi;0;GF;9.0000;10.0000;64.0500;1
domtomsi;0;GF;10.0000;15.0000;91.2100;1
domtomsi;0;GF;15.0000;20.0000;115.8700;1
domtomsi;0;GF;20.0000;25.0000;142.8600;1
domtomsi;0;GF;25.0000;;169.8300;1
domtomsi;0;GP;;0.5000;12.6300;1
domtomsi;0;GP;0.5000;1.0000;15.9000;1
domtomsi;0;GP;1.0000;2.0000;21.4200;1
domtomsi;0;GP;2.0000;3.0000;26.9700;1
domtomsi;0;GP;3.0000;4.0000;31.9300;1
domtomsi;0;GP;4.0000;5.0000;37.0600;1
domtomsi;0;GP;5.0000;6.0000;43.5800;1
domtomsi;0;GP;6.0000;7.0000;49.1200;1
domtomsi;0;GP;7.0000;8.0000;53.2500;1
domtomsi;0;GP;8.0000;9.0000;58.6500;1
domtomsi;0;GP;9.0000;10.0000;64.0500;1
domtomsi;0;GP;10.0000;15.0000;91.2100;1
domtomsi;0;GP;15.0000;20.0000;115.8700;1
domtomsi;0;GP;20.0000;25.0000;142.8600;1
domtomsi;0;GP;25.0000;;169.8300;1
domtomsi;0;MF;;0.5000;12.6300;1
domtomsi;0;MF;0.5000;1.0000;15.9000;1
domtomsi;0;MF;1.0000;2.0000;21.4200;1
domtomsi;0;MF;2.0000;3.0000;26.9700;1
domtomsi;0;MF;3.0000;4.0000;31.9300;1
domtomsi;0;MF;4.0000;5.0000;37.0600;1
domtomsi;0;MF;5.0000;6.0000;43.5800;1
domtomsi;0;MF;6.0000;7.0000;49.1200;1
domtomsi;0;MF;7.0000;8.0000;53.2500;1
domtomsi;0;MF;8.0000;9.0000;58.6500;1
domtomsi;0;MF;9.0000;10.0000;64.0500;1
domtomsi;0;MF;10.0000;15.0000;91.2100;1
domtomsi;0;MF;15.0000;20.0000;115.8700;1
domtomsi;0;MF;20.0000;25.0000;142.8600;1
domtomsi;0;MF;25.0000;;169.8300;1
domtomsi;0;MQ;;0.5000;12.6300;1
domtomsi;0;MQ;0.5000;1.0000;15.9000;1
domtomsi;0;MQ;1.0000;2.0000;21.4200;1
domtomsi;0;MQ;2.0000;3.0000;26.9700;1
domtomsi;0;MQ;3.0000;4.0000;31.9300;1
domtomsi;0;MQ;4.0000;5.0000;37.0600;1
domtomsi;0;MQ;5.0000;6.0000;43.5800;1
domtomsi;0;MQ;6.0000;7.0000;49.1200;1
domtomsi;0;MQ;7.0000;8.0000;53.2500;1
domtomsi;0;MQ;8.0000;9.0000;58.6500;1
domtomsi;0;MQ;9.0000;10.0000;64.0500;1
domtomsi;0;MQ;10.0000;15.0000;91.2100;1
domtomsi;0;MQ;15.0000;20.0000;115.8700;1
domtomsi;0;MQ;20.0000;25.0000;142.8600;1
domtomsi;0;MQ;25.0000;;169.8300;1
domtomsi;0;NC;;0.5000;18.5400;1
domtomsi;0;NC;0.5000;1.0000;22.9300;1
domtomsi;0;NC;1.0000;2.0000;35.6800;1
domtomsi;0;NC;2.0000;3.0000;49.3000;1
domtomsi;0;NC;3.0000;4.0000;60.6900;1
domtomsi;0;NC;4.0000;5.0000;73.3300;1
domtomsi;0;NC;5.0000;6.0000;88.2300;1
domtomsi;0;NC;6.0000;7.0000;101.2000;1
domtomsi;0;NC;7.0000;8.0000;111.2700;1
domtomsi;0;NC;8.0000;9.0000;123.9200;1
domtomsi;0;NC;9.0000;10.0000;136.5600;1
domtomsi;0;NC;10.0000;15.0000;206.0600;1
domtomsi;0;NC;15.0000;20.0000;265.0500;1
domtomsi;0;NC;20.0000;25.0000;329.3000;1
domtomsi;0;NC;25.0000;;393.5300;1
domtomsi;0;PF;;0.5000;18.5400;1
domtomsi;0;PF;0.5000;1.0000;22.9300;1
domtomsi;0;PF;1.0000;2.0000;35.6800;1
domtomsi;0;PF;2.0000;3.0000;49.3000;1
domtomsi;0;PF;3.0000;4.0000;60.6900;1
domtomsi;0;PF;4.0000;5.0000;73.3300;1
domtomsi;0;PF;5.0000;6.0000;88.2300;1
domtomsi;0;PF;6.0000;7.0000;101.2000;1
domtomsi;0;PF;7.0000;8.0000;111.2700;1
domtomsi;0;PF;8.0000;9.0000;123.9200;1
domtomsi;0;PF;9.0000;10.0000;136.5600;1
domtomsi;0;PF;10.0000;15.0000;206.0600;1
domtomsi;0;PF;15.0000;20.0000;265.0500;1
domtomsi;0;PF;20.0000;25.0000;329.3000;1
domtomsi;0;PF;25.0000;;393.5300;1
domtomsi;0;PM;;0.5000;12.6300;1
domtomsi;0;PM;0.5000;1.0000;15.9000;1
domtomsi;0;PM;1.0000;2.0000;21.4200;1
domtomsi;0;PM;2.0000;3.0000;26.9700;1
domtomsi;0;PM;3.0000;4.0000;31.9300;1
domtomsi;0;PM;4.0000;5.0000;37.0600;1
domtomsi;0;PM;5.0000;6.0000;43.5800;1
domtomsi;0;PM;6.0000;7.0000;49.1200;1
domtomsi;0;PM;7.0000;8.0000;53.2500;1
domtomsi;0;PM;8.0000;9.0000;58.6500;1
domtomsi;0;PM;9.0000;10.0000;64.0500;1
domtomsi;0;PM;10.0000;15.0000;91.2100;1
domtomsi;0;PM;15.0000;20.0000;115.8700;1
domtomsi;0;PM;20.0000;25.0000;142.8600;1
domtomsi;0;PM;25.0000;;169.8300;1
domtomsi;0;RE;;0.5000;12.6300;1
domtomsi;0;RE;0.5000;1.0000;15.9000;1
domtomsi;0;RE;1.0000;2.0000;21.4200;1
domtomsi;0;RE;2.0000;3.0000;26.9700;1
domtomsi;0;RE;3.0000;4.0000;31.9300;1
domtomsi;0;RE;4.0000;5.0000;37.0600;1
domtomsi;0;RE;5.0000;6.0000;43.5800;1
domtomsi;0;RE;6.0000;7.0000;49.1200;1
domtomsi;0;RE;7.0000;8.0000;53.2500;1
domtomsi;0;RE;8.0000;9.0000;58.6500;1
domtomsi;0;RE;9.0000;10.0000;64.0500;1
domtomsi;0;RE;10.0000;15.0000;91.2100;1
domtomsi;0;RE;15.0000;20.0000;115.8700;1
domtomsi;0;RE;20.0000;25.0000;142.8600;1
domtomsi;0;RE;25.0000;;169.8300;1
domtomsi;0;TF;;0.5000;18.5400;1
domtomsi;0;TF;0.5000;1.0000;22.9300;1
domtomsi;0;TF;1.0000;2.0000;35.6800;1
domtomsi;0;TF;2.0000;3.0000;49.3000;1
domtomsi;0;TF;3.0000;4.0000;60.6900;1
domtomsi;0;TF;4.0000;5.0000;73.3300;1
domtomsi;0;TF;5.0000;6.0000;88.2300;1
domtomsi;0;TF;6.0000;7.0000;101.2000;1
domtomsi;0;TF;7.0000;8.0000;111.2700;1
domtomsi;0;TF;8.0000;9.0000;123.9200;1
domtomsi;0;TF;9.0000;10.0000;136.5600;1
domtomsi;0;TF;10.0000;15.0000;206.0600;1
domtomsi;0;TF;15.0000;20.0000;265.0500;1
domtomsi;0;TF;20.0000;25.0000;329.3000;1
domtomsi;0;TF;25.0000;;393.5300;1
domtomsi;0;WF;;0.5000;18.5400;1
domtomsi;0;WF;0.5000;1.0000;22.9300;1
domtomsi;0;WF;1.0000;2.0000;35.6800;1
domtomsi;0;WF;2.0000;3.0000;49.3000;1
domtomsi;0;WF;3.0000;4.0000;60.6900;1
domtomsi;0;WF;4.0000;5.0000;73.3300;1
domtomsi;0;WF;5.0000;6.0000;88.2300;1
domtomsi;0;WF;6.0000;7.0000;101.2000;1
domtomsi;0;WF;7.0000;8.0000;111.2700;1
domtomsi;0;WF;8.0000;9.0000;123.9200;1
domtomsi;0;WF;9.0000;10.0000;136.5600;1
domtomsi;0;WF;10.0000;15.0000;206.0600;1
domtomsi;0;WF;15.0000;20.0000;265.0500;1
domtomsi;0;WF;20.0000;25.0000;329.3000;1
domtomsi;0;WF;25.0000;;393.5300;1
domtomsi;0;YT;;0.5000;12.6300;1
domtomsi;0;YT;0.5000;1.0000;15.9000;1
domtomsi;0;YT;1.0000;2.0000;21.4200;1
domtomsi;0;YT;2.0000;3.0000;26.9700;1
domtomsi;0;YT;3.0000;4.0000;31.9300;1
domtomsi;0;YT;4.0000;5.0000;37.0600;1
domtomsi;0;YT;5.0000;6.0000;43.5800;1
domtomsi;0;YT;6.0000;7.0000;49.1200;1
domtomsi;0;YT;7.0000;8.0000;53.2500;1
domtomsi;0;YT;8.0000;9.0000;58.6500;1
domtomsi;0;YT;9.0000;10.0000;64.0500;1
domtomsi;0;YT;10.0000;15.0000;91.2100;1
domtomsi;0;YT;15.0000;20.0000;115.8700;1
domtomsi;0;YT;20.0000;25.0000;142.8600;1
domtomsi;0;YT;25.0000;;169.8300;1
homecl;0;BE;;0.5000;7.7000;1
homecl;0;BE;0.5000;1.0000;9.5000;1
homecl;0;BE;1.0000;2.0000;10.2200;1
homecl;0;BE;2.0000;3.0000;11.0000;1
homecl;0;BE;3.0000;4.0000;11.7700;1
homecl;0;BE;4.0000;5.0000;12.4900;1
homecl;0;BE;5.0000;6.0000;13.2100;1
homecl;0;BE;6.0000;7.0000;13.9400;1
homecl;0;BE;7.0000;8.0000;14.6500;1
homecl;0;BE;8.0000;9.0000;15.3800;1
homecl;0;BE;9.0000;10.0000;16.1000;1
homecl;0;BE;10.0000;15.0000;20.2300;1
homecl;0;BE;15.0000;20.0000;24.3500;1
homecl;0;BE;20.0000;25.0000;28.4700;1
homecl;0;BE;25.0000;;32.6000;1
homecl;0;CH;;0.5000;10.0000;1
homecl;0;CH;0.5000;1.0000;12.5500;1
homecl;0;CH;1.0000;2.0000;14.0900;1
homecl;0;CH;2.0000;3.0000;15.4100;1
homecl;0;CH;3.0000;4.0000;17.0100;1
homecl;0;CH;4.0000;5.0000;18.6500;1
homecl;0;CH;5.0000;6.0000;24.7100;1
homecl;0;CH;6.0000;7.0000;26.1400;1
homecl;0;CH;7.0000;8.0000;27.4900;1
homecl;0;CH;8.0000;9.0000;28.8300;1
homecl;0;CH;9.0000;10.0000;30.1700;1
homecl;0;CH;10.0000;15.0000;37.7500;1
homecl;0;CH;15.0000;20.0000;45.2300;1
homecl;0;CH;20.0000;25.0000;52.7500;1
homecl;0;CH;25.0000;;54.9000;1
homecl;0;DE;;0.5000;7.7000;1
homecl;0;DE;0.5000;1.0000;9.5000;1
homecl;0;DE;1.0000;2.0000;10.2200;1
homecl;0;DE;2.0000;3.0000;11.0000;1
homecl;0;DE;3.0000;4.0000;11.7700;1
homecl;0;DE;4.0000;5.0000;12.4900;1
homecl;0;DE;5.0000;6.0000;13.2100;1
homecl;0;DE;6.0000;7.0000;13.9400;1
homecl;0;DE;7.0000;8.0000;14.6500;1
homecl;0;DE;8.0000;9.0000;15.3800;1
homecl;0;DE;9.0000;10.0000;16.1000;1
homecl;0;DE;10.0000;15.0000;20.2300;1
homecl;0;DE;15.0000;20.0000;24.3500;1
homecl;0;DE;20.0000;25.0000;28.4700;1
homecl;0;DE;25.0000;;32.6000;1
homecl;0;FR;;0.2500;5.5600;1
homecl;0;FR;0.2500;0.5000;6.2700;1
homecl;0;FR;0.5000;0.7500;7.0100;1
homecl;0;FR;0.7500;1.0000;7.6100;1
homecl;0;FR;1.0000;2.0000;8.4400;1
homecl;0;FR;2.0000;3.0000;9.2600;1
homecl;0;FR;3.0000;4.0000;10.1000;1
homecl;0;FR;4.0000;5.0000;10.9200;1
homecl;0;FR;5.0000;6.0000;11.7700;1
homecl;0;FR;6.0000;7.0000;12.5900;1
homecl;0;FR;7.0000;8.0000;13.4100;1
homecl;0;FR;8.0000;9.0000;14.2500;1
homecl;0;FR;9.0000;10.0000;15.0800;1
homecl;0;FR;10.0000;11.0000;15.9200;1
homecl;0;FR;11.0000;12.0000;16.7400;1
homecl;0;FR;12.0000;13.0000;17.5700;1
homecl;0;FR;13.0000;14.0000;18.4100;1
homecl;0;FR;14.0000;15.0000;19.2300;1
homecl;0;FR;15.0000;16.0000;20.0700;1
homecl;0;FR;16.0000;17.0000;20.8900;1
homecl;0;FR;17.0000;18.0000;21.7200;1
homecl;0;FR;18.0000;19.0000;22.5600;1
homecl;0;FR;19.0000;20.0000;23.3800;1
homecl;0;FR;20.0000;21.0000;24.2200;1
homecl;0;FR;21.0000;22.0000;25.0600;1
homecl;0;FR;22.0000;23.0000;25.8800;1
homecl;0;FR;23.0000;24.0000;26.7100;1
homecl;0;FR;24.0000;25.0000;27.5300;1
homecl;0;FR;25.0000;26.0000;28.3700;1
homecl;0;FR;26.0000;27.0000;29.2000;1
homecl;0;FR;27.0000;28.0000;30.0300;1
homecl;0;FR;28.0000;29.0000;30.8700;1
homecl;0;FR;29.0000;;31.6800;1
homecl;0;LU;;0.5000;7.7000;1
homecl;0;LU;0.5000;1.0000;9.5000;1
homecl;0;LU;1.0000;2.0000;10.2200;1
homecl;0;LU;2.0000;3.0000;11.0000;1
homecl;0;LU;3.0000;4.0000;11.7700;1
homecl;0;LU;4.0000;5.0000;12.4900;1
homecl;0;LU;5.0000;6.0000;13.2100;1
homecl;0;LU;6.0000;7.0000;13.9400;1
homecl;0;LU;7.0000;8.0000;14.6500;1
homecl;0;LU;8.0000;9.0000;15.3800;1
homecl;0;LU;9.0000;10.0000;16.1000;1
homecl;0;LU;10.0000;15.0000;20.2300;1
homecl;0;LU;15.0000;20.0000;24.3500;1
homecl;0;LU;20.0000;25.0000;28.4700;1
homecl;0;LU;25.0000;;32.6000;1
homecl;0;NL;;0.5000;7.7000;1
homecl;0;NL;0.5000;1.0000;9.5000;1
homecl;0;NL;1.0000;2.0000;10.2200;1
homecl;0;NL;2.0000;3.0000;11.0000;1
homecl;0;NL;3.0000;4.0000;11.7700;1
homecl;0;NL;4.0000;5.0000;12.4900;1
homecl;0;NL;5.0000;6.0000;13.2100;1
homecl;0;NL;6.0000;7.0000;13.9400;1
homecl;0;NL;7.0000;8.0000;14.6500;1
homecl;0;NL;8.0000;9.0000;15.3800;1
homecl;0;NL;9.0000;10.0000;16.1000;1
homecl;0;NL;10.0000;15.0000;20.2300;1
homecl;0;NL;15.0000;20.0000;24.3500;1
homecl;0;NL;20.0000;25.0000;28.4700;1
homecl;0;NL;25.0000;;32.6000;1
homesi;0;AT;;0.5000;9.4300;1
homesi;0;AT;0.5000;1.0000;11.9900;1
homesi;0;AT;1.0000;2.0000;13.4200;1
homesi;0;AT;2.0000;3.0000;14.2900;1
homesi;0;AT;3.0000;4.0000;15.0700;1
homesi;0;AT;4.0000;5.0000;15.8900;1
homesi;0;AT;5.0000;6.0000;16.6600;1
homesi;0;AT;6.0000;7.0000;17.5500;1
homesi;0;AT;7.0000;8.0000;18.3100;1
homesi;0;AT;8.0000;9.0000;19.0900;1
homesi;0;AT;9.0000;10.0000;19.8600;1
homesi;0;AT;10.0000;15.0000;24.1500;1
homesi;0;AT;15.0000;20.0000;28.3200;1
homesi;0;AT;20.0000;25.0000;32.4900;1
homesi;0;AT;25.0000;;36.6800;1
homesi;0;BE;;0.5000;8.2100;1
homesi;0;BE;0.5000;1.0000;10.0200;1
homesi;0;BE;1.0000;2.0000;10.7300;1
homesi;0;BE;2.0000;3.0000;11.5100;1
homesi;0;BE;3.0000;4.0000;12.2900;1
homesi;0;BE;4.0000;5.0000;13.0000;1
homesi;0;BE;5.0000;6.0000;13.7300;1
homesi;0;BE;6.0000;7.0000;14.4500;1
homesi;0;BE;7.0000;8.0000;15.1700;1
homesi;0;BE;8.0000;9.0000;15.8900;1
homesi;0;BE;9.0000;10.0000;16.6100;1
homesi;0;BE;10.0000;15.0000;20.7400;1
homesi;0;BE;15.0000;20.0000;24.8600;1
homesi;0;BE;20.0000;25.0000;28.9900;1
homesi;0;BE;25.0000;;33.1200;1
homesi;0;BG;;0.5000;12.0800;1
homesi;0;BG;0.5000;1.0000;14.7800;1
homesi;0;BG;1.0000;2.0000;16.2600;1
homesi;0;BG;2.0000;3.0000;17.8300;1
homesi;0;BG;3.0000;4.0000;19.9500;1
homesi;0;BG;4.0000;5.0000;24.1200;1
homesi;0;BG;5.0000;6.0000;27.2900;1
homesi;0;BG;6.0000;7.0000;31.0900;1
homesi;0;BG;7.0000;8.0000;35.7100;1
homesi;0;BG;8.0000;9.0000;38.3800;1
homesi;0;BG;9.0000;10.0000;41.6600;1
homesi;0;BG;10.0000;15.0000;56.3400;1
homesi;0;BG;15.0000;20.0000;66.0900;1
homesi;0;BG;20.0000;25.0000;78.2900;1
homesi;0;BG;25.0000;;90.8200;1
homesi;0;CH;;0.5000;10.5100;1
homesi;0;CH;0.5000;1.0000;13.0600;1
homesi;0;CH;1.0000;2.0000;14.6000;1
homesi;0;CH;2.0000;3.0000;15.9200;1
